title,content,category
Học đầu tư chứng khoán thế nào với người mới bắt đầu?,"Tôi mới tìm hiểu thị trường chứng khoán gần đây. Mọi thứ quá phức tạp nên tôi muốn học kỹ lĩnh vực này, sau đó sẽ bỏ ít vốn ra ""thực hành"" (chấp nhận lỗ), rồi mới tính chuyện đầu tư lâu dài. Tôi muốn được chuyên gia tư vấn giúp lộ trình tham khảo từ việc học tập về chứng khoán cho đến giai đoạn thử thực hành và chính thức tham gia thị trường. Ở mỗi giai đoạn, tôi cần tập trung hoặc chú ý những điều gì? Trần Quang Ngọc Nhà đầu tư đang theo dõi thị trường tại một sàn giao dịch chứng khoán ở quận 1, TP HCM. Ảnh: Quỳnh Trần Chuyên gia tư vấn: Chứng khoán nói chung và cổ phiếu nói riêng là kênh đầu tư rất hấp dẫn, thu hút được nhiều nhà đầu tư ở mọi lứa tuổi. Đây là kênh đầu tư có nhiều lợi ích, trong đó nổi bật nhất là tính thanh khoản, có thể bắt đầu từ số vốn vừa và nhỏ. Ở đây, tôi sẽ tạm hiểu nhu cầu của bạn là đầu tư vào cổ phiếu và mong muốn được biết thêm về lộ trình và cách học đầu tư cổ phiếu. Để tham gia thị trường thành công và hiệu quả, bạn đã xác định đúng trong việc đầu tư vào kiến thức nhằm giúp bản thân đưa ra quyết định đúng đắn và phù hợp. Vậy việc học nên bắt đầu từ đâu cho đúng? Theo tôi, nếu học mà không đi đôi với hành sẽ rất dễ tạo cảm giác chán nản, khó tập trung. Do đó, lời khuyên đầu tiên của tôi là bạn nên có một tài khoản chứng khoán và tập làm quen với những chức năng cơ bản trên thị trường vì ""người thầy tốt nhất với bạn chính là thị trường"". Đừng đợi đến lúc học xong mới tham gia vì lúc đó có thể đã quá trễ và việc học là việc cả đời. Nhưng trước khi bắt đầu xuống tiền, việc cần làm là xác định rõ khẩu vị rủi ro cho bản thân. Khẩu vị rủi ro là quan điểm, mức độ chấp nhận của mỗi người về sự rủi ro. Khẩu vị rủi ro thường được xác định qua các yếu tố như lứa tuổi, khả năng tài chính, gia đình. Mức độ khẩu vị rủi ro sẽ quyết định sự an toàn cho nguồn vốn của bản thân và kỳ vọng sinh lợi. Ví dụ, nếu đầu tư 100 triệu đồng, bạn sẽ chấp nhận mất bao nhiêu khi khoản đầu tư bị thua lỗ? Với độ rủi ro ở mức đã xác định, bạn kỳ vọng sẽ thu về bao nhiêu phần trăm lợi nhuận để bù đắp cho những rủi ro có thể gặp phải? Khi đã xác định được khẩu vị rủi ro, thời gian dành cho đầu tư, khả năng tài chính và phương án dự phòng tài chính, bước tiếp theo nên bắt đầu lựa chọn cho mình một số phương pháp và cách học hiệu quả. Một số phương pháp nổi bật là đầu tư giá trị, đầu tư",Chứng khoán
VN-Index lên mức cao nhất 9 tháng,"VN-Index chốt phiên tại 1.129,38 điểm, tăng hơn 4 điểm so với tham chiếu, dù lực mua không có nhiều biến động so với hôm qua. Động lực thúc đẩy phiên tăng cuối tuần đến từ các cổ phiếu vốn hóa lớn thuộc rổ VN30 như VNM, VPB, BVH, HPG. Sàn TP HCM hôm nay có 235 cổ phiếu tăng và 200 cổ phiếu giảm. Ngân hàng, chứng khoán và hàng không là những nhóm cổ phiếu ghi nhận sắc xanh đồng thuận; trong khi cổ phiếu bất động sản và dầu khí chịu áp lực bán mạnh nên hầu hết đóng cửa dưới tham chiếu. Thanh khoản thị trường đạt gần 18.200 tỷ đồng, trong đó rổ VN30 đóng góp hơn 7.000 tỷ đồng. 5 cổ phiếu dẫn đầu về giá trị giao dịch gồm VPB, VNM, HPG, VND và STB với thanh khoản dao động 500-800 tỷ đồng. Điểm chung của các cổ phiếu này là đều tăng so với tham chiếu. Nhà đầu tư nước ngoài hôm nay giải ngân xấp xỉ 1.180 tỷ đồng, trong khi bán ra hơn 1.220 tỷ đồng, tức giá trị bán ròng khoảng 40 tỷ đồng. HPG tiếp tục được khối ngoại gom ròng mạnh nhất với hơn 128 tỷ đồng, tiếp đến là SHS, VHM và KDH. Theo nhận định của Công ty Chứng khoán Phú Hưng, thị trường đang tiếp diễn xu hướng phục hồi ngắn hạn. Nhà đầu tư được khuyến nghị có thể tiếp tục thực hiện các vị thế giao dịch lướt sóng với ưu tiên là cổ phiếu có cơ bản tốt, dự báo kết quả kinh doanh quý II tăng trưởng và đang thu hút được dòng tiền. Phương Đông",Chứng khoán
DIG | Dòng tiền đổ mạnh vào cổ phiếu DIG,"Sau phiên ATO, thị giá DIG nhảy vọt lên vùng 23.000 đồng một cổ phiếu. Dòng tiền rót vào lớn và duy trì trạng thái mua chủ động suốt cả ngày khiến mã này luôn ổn định trong vùng 22.800-23.000 đồng. Gần cuối ngày, DIG tăng trần lên 23.200 đồng một cổ phiếu, mức cao nhất từ đầu năm đến nay. Chốt phiên, cổ phiếu này tăng 6,2% lên 23.050 đồng. DIG có thanh khoản cao nhất sàn HoSE hôm nay khi khớp lệnh gần 48 triệu cổ phiếu, tương đương hơn 1.085 tỷ đồng. Đây cũng là giá trị giao dịch cao nhất của mã này tính từ đầu năm. Diễn biến tích cực của cổ phiếu DIG xuất hiện ngay sau thông tin khả quan từ kết quả kinh doanh được công bố. Công ty này vừa ghi nhận hơn 700 tỷ đồng từ việc chuyển nhượng một phần dự án DIC Victory Hậu Giang trong 5 tháng đầu năm. Đến cuối năm, DIG dự kiến tiếp tục chuyển nhượng thêm sản phẩm ở dự án này để có được 1.585 tỷ đồng. Ngoài DIG, nhiều cổ phiếu bất động sản hôm nay cũng tăng giá mạnh. NBB và QCG kịch trần. Trong khi các mã trụ trong ngành khởi sắc như DXG, CEO, KDH, VHM. Tương tự, nhóm ngân hàng được bao phủ hầu hết bởi sắc xanh. Phần lớn cổ phiếu đều có mức tăng từ 1% trở lên. Theo VNDirect, nhóm này có 6 đại diện trong top 10 cổ phiếu góp mức tăng nhiều nhất cho thị trường, dẫn đầu là VCB và theo sau là các mã BID, MBB, STB, CTG, VIB. Hôm nay, toàn sàn HoSE có 314 mã tăng, cao hơn hẳn số lượng 114 mã giảm. Điều này giúp điểm số VN-Index luôn giữ trên mốc 1.122 suốt cả ngày. Chốt phiên, VN-Index tích lũy thêm gần 7 điểm, đạt 1.125,3 điểm. Đây là phiên giao dịch tăng thứ ba liên tiếp. Thanh khoản thị trường cải thiện thêm 6% lên mức hơn 18.600 tỷ đồng. Nhà đầu tư chủ yếu giao dịch ở các nhóm ngành tài chính, công nghiệp, bất động sản và nguyên vật liệu. Khối ngoại quay lại bán ròng gần 420 tỷ đồng. Riêng ở mã VHM, giá trị bán ròng của nhà đầu tư nước ngoài ghi nhận hơn 580 tỷ đồng. Tất Đạt",Chứng khoán
Chứng khoán tăng phiên thứ hai liên tiếp,"Chỉ số đại diện cho sàn TP HCM đóng cửa tại 1.118 điểm, tăng gần 7 điểm so với tham chiếu. Số lượng cổ phiếu tăng áp đảo cổ phiếu giảm, lần lượt 323 mã và 108 mã. Chứng khoán và thép là hai nhóm ghi nhận sắc xanh đồng thuận, trong đó nhiều mã tăng trên 5%. Trong khi đó, nhóm ngân hàng, bất động sản và dầu khí có sự phân hoá mạnh khi một số mã chạm trần còn số khác lại giảm sâu. HPG tăng 4% lên 24.600 đồng - vùng giá cao nhất một năm - và đứng đầu danh sách những mã tác động tích cực nhất đến chỉ số chung. Các mã thuộc rổ VN30 như GVR, VNM, VIC, MSN, TCB chia nhau các vị trí tiếp theo trong danh sách này. Ở chiều ngược lại, VHM giảm gần 1% so với tham chiếu, là cổ phiếu ghì VN-Index xuống mạnh nhất. Thanh khoản thị trường hôm nay đạt trên 17.500 tỷ đồng, tăng gần 4.000 tỷ đồng so với hôm qua. HPG khớp lệnh hơn 35 triệu cổ phiếu, đứng đầu về giá trị giao dịch trên sàn TP HCM với gần 860 tỷ đồng. GEX xếp thứ hai với giá trị khớp lệnh 750 tỷ đồng, sau đó đến hai mã trụ của nhóm chứng khoán là VND và SSI. Sau khi xả hàng quyết liệt trong phiên tăng hôm qua, nhà đầu tư nước ngoài đã quay lại mua ròng. Nhóm này giải ngân gần 1.700 tỷ đồng và bán ra khoảng 1.630 tỷ đồng. HPG hút mạnh dòng tiền khối ngoại với giá trị mua ròng gần 140 tỷ đồng, xấp xỉ hai cổ phiếu xếp sau là STB và SSI cộng lại. Phương Đông Chuyên gia khuyên mẹ đơn thân nên lập quỹ dự phòng và gửi tiết kiệm, tham khảo kênh bất động sản, chứng khoán, riêng chuyện kinh doanh cần cân nhắc kỹ.",Chứng khoán
Chứng khoán lội ngược dòng,"Mở cửa phiên hôm nay, chỉ số đại diện sàn HoSE có xu hướng tăng. Tuy nhiên VN-Index sớm chao đảo, có lúc về dưới tham chiếu, sau đó tăng trở lại nhưng với biên độ hẹp. Cuối buổi sáng, áp lực bán xuất hiện nhiều khiến chỉ số này lùi về dưới tham chiếu. Sắc đỏ duy trì sang phiên chiều. Đến khoảng 14h, lực mua và bán giằng co mạnh, sau đó nhà đầu tư bất ngờ gom hàng ở các cổ phiếu riêng lẻ với dòng tiền mạnh, đưa chỉ số trên tăng nhanh chóng. Chốt phiên, VN-Index đạt hơn 1.111,7 điểm, dần lấy lại mốc như cuối tuần trước. Toàn sàn HoSE có 298 cổ phiếu tăng, hơn gấp đôi số lượng giảm. Theo thống kê của Công ty Chứng khoán Vietcombank (VCBS), thanh khoản mua chủ động chiếm 65% thị trường cho thấy dòng tiền bắt đáy đang dần có xu hướng quay trở lại. Dẫn dắt thị trường về cả thanh khoản và điểm số là các nhóm tài chính, công nghiệp, bất động sản và nguyên vật liệu. Theo VNDirect, top 10 cổ phiếu hôm nay hầu hết là mã chứng khoán của các công ty kinh doanh địa ốc, dẫn đầu là CII, theo sau là các mã EVG, NTL, LDG, HHV. Bảng điện bất động sản được bao trùm bởi sắc xanh. Ngành này có ba mã tăng thị giá hai con số (LAI, E29 và BVL) và bốn mã đạt tím trần (LDG, NTL, CII, ITC), nhưng hầu hết đều có thanh khoản thấp. Riêng cổ phiếu CII hút dòng tiền đổ về hơn 434 tỷ đồng, cao thứ ba toàn sàn HoSE với thị giá tăng 6,9%. Nhiều cổ phiếu lớn trong ngành cũng tăng mạnh như KBC, DXG, PDR, NVL. Ngành chứng khoán hôm nay nắm giữ hai cổ phiếu có thanh khoản cao nhất thị trường. VND ghi nhận gần 570 tỷ đồng giá trị giao dịch, thị giá tăng 2,1%. Trong khi đó, SSI có thanh khoản gần 488 tỷ đồng, thị giá tăng 1,2%. Hầu hết mã trong nhóm ngành này đều tích lũy thêm thị giá so với tham chiếu. Thanh khoản toàn sàn TP HCM hôm nay giảm nhẹ về hơn 13.600 tỷ đồng. Đây là mức thấp nhất kể từ ngày 26/5. Nhà đầu tư nước ngoài tiếp tục bán ròng với biên độ hơn 400 tỷ đồng. VNM, SSI và VCB là ba cổ phiếu ghi nhận tình trạng xả hàng nhiều nhất ở khối ngoại. Tất Đạt",Chứng khoán
Cổ phiếu Novaland gần chạm sàn,"Như dự báo của giới phân tích, thị trường đối mặt áp lực điều chỉnh ngắn hạn, khi VN-Index không thể chinh phục được ngưỡng kháng cự quanh 1.120-1.130 điểm vào cuối tuần trước. Áp lực dâng cao ngay từ đầu phiên ép chỉ số của sàn HoSE về dưới tham chiếu. Trong đó, bất động sản và ngân hàng là hai nhóm bị chốt lời mạnh nhất. Nhiều mã trong nhóm này mở phiên trong sắc xanh, như NVL, PDR, VHM, BID, STB, nhưng đà tăng chỉ duy trì được vài phút đầu giờ. Bên bán chiếm ưu thế trong khi lực mua yếu khiến đà giảm nhanh chóng được nới rộng. VN-Index cũng liên tục giảm theo thời gian giao dịch. Sang phiên chiều, thị trường có những nhịp hồi sau giờ nghỉ trưa nhưng bên bán vẫn chiếm ưu thế. VN-Index chốt phiên giảm gần 10 điểm (0,88%), lùi về gần ngưỡng 1.100 điểm. VN30-Index giảm hơn 10 điểm còn 1.098,94 điểm. Trên sàn Hà Nội, HNX-Index và UPCOM-Index cùng chốt phiên trong sắc đỏ. VN-Index chốt phiên 19/6 giảm gần 10 điểm. Ảnh: VNDirect Sắc đỏ chiếm áp đảo vào cuối phiên, với HoSE ghi nhận hơn 300 mã giảm, so với 113 mã tăng. Riêng nhóm vốn hóa lớn, 18/30 mã đóng cửa dưới tham chiếu. Đứng đầu đà giảm trong VN30 là hai mã bất động sản NVL và PDR. Cổ phiếu của Novaland gần chạm giá sàn, mất 6% khi khối ngoại bán ròng hơn 24 triệu cổ phiếu. Cả phiên hôm nay, hơn 67 triệu cổ phiếu NVL được sang tay. PDR khép phiên cũng giảm hơn 4%, với thanh khoản ghi nhận hơn 25 triệu cổ phiếu. Ở những mã còn lại, VCB, MSN, VIC giảm quanh ngưỡng 3%, VHM, TCB, HDB mất hơn 1%, BID, STB, BVH giảm gần 1%. Với phân khúc vốn hóa trung bình, các mã bất động sản như SCR, NBB, QCG, HQC đóng cửa trong sắc đỏ. Ngoài ra, các cổ phiếu liên quan đến nhóm APEC, như API, APS giảm kịch sản khi áp lực bán tháo tăng vọt. Thanh khoản trên HoSE giảm còn 14.300 tỷ đồng, với hơn 800 triệu cổ phiếu được sang tay. Trong đó, nhóm VN30 giao dịch hơn 5.400 tỷ đồng. Minh Sơn",Chứng khoán
Tiền vào chứng khoán tăng trở lại,"Sau khi chạm đáy vào cuối tháng 4, thanh khoản của thị trường chứng khoán bắt đầu tăng trở lại, cùng với nhịp phục hồi của chỉ số. Riêng từ đầu tháng 6, sàn HoSE đã ghi nhận hai phiên có tổng giá trị khớp lệnh và thỏa thuận vượt 20.000 tỷ đồng, trong đó phiên 8/6 đạt gần 23.700 tỷ đồng, tương đương hơn 1 tỷ USD. Đà tăng của thị trường không chỉ tập trung vào một số phiên giao dịch đột biến. Quy mô giao dịch bình quân phiên trong bốn tháng gần đây đã tăng liên tục. Tháng 3, quy mô giao dịch bình quân mỗi phiên trên HoSE chỉ đạt hơn 9.200 tỷ đồng. Con số này tăng hơn 20% lên gần 11.200 tỷ đồng trong tháng 4, tăng tiếp lên 12.200 tỷ trong tháng 5. Riêng trong nửa đầu tháng 6, quy mô giao dịch trung bình mỗi phiên của HoSE lên tới 17.400 tỷ đồng, gần gấp đôi so với trước đó ba tháng. Riêng trong nửa đầu tháng 6, quy mô giao dịch trung bình mỗi phiên của HoSE lên tới 17.400 tỷ đồng, gần gấp đôi so với trước đó ba tháng và tương đương mức trung bình của năm 2022. Giao dịch trên thị trường sôi động hơn khi VN-Index lấy lại đà tăng trong những tháng gần đây. Các nhóm cổ phiếu dẫn dắt dòng tiền như ngân hàng, chứng khoán hay bất động sản đều giao dịch khởi sắc, nhiều mã tăng với tốc độ hai chữ số so với vùng đáy cuối quý I. Chỉ số của sàn HoSE cũng trở lại ngưỡng 1.100 điểm và đang giao dịch giằng co gần vùng kháng cự 1.120-1.130 điểm. Theo Công ty chứng khoán ACB (ACBS), một trong những động lực cho dòng tiền trở lại với thị trường là việc Ngân hàng Nhà nước liên tục hạ lãi suất cơ bản từ đầu năm. ""Điều này đã tạo hiệu ứng tích cực nhờ kỳ vọng dòng tiền nhàn rỗi sẽ chuyển dịch sang thị trường chứng khoán khi lãi suất huy động giảm"", báo cáo của ACBS viết. Lãi suất là chỉ báo ngược chiều với thị trường chứng khoán. Về mặt nguyên lý, các chuyên gia cho rằng khi lãi suất rẻ hoặc đi ngang thì giá cổ phiếu tăng và ngược lại khi lãi suất tăng thì giá cổ phiếu giảm. Lý do là lãi suất cao khiến hiệu suất kinh doanh của doanh nghiệp bị ảnh hưởng vì chịu chi phí cao hơn, tác động đến kỳ vọng của nhà đầu tư trên thị trường. Ngoài ra, lãi suất cao cũng khiến một phần tiền từ chứng khoán bị rút ra để gửi vào hệ thống ngân hàng. Giai đoạn thanh khoản của thị trường giảm mạnh trong nửa cuối năm ngoái và quý I năm nay cùng thời điểm Ngân hàng Nhà nước tăng lãi suất cơ bản, còn các nhà băng thương mại liên tục đẩy lãi suất huy động lên cao. Tuy nhiên, khi lãi suất liên tục giảm từ đầu năm, dòng tiền có xu hướng trở lại với thị trường chứng khoán, đặc biệt ở nhóm nhà đầu tư cá nhân. Trong tháng 5, nhà đầu tư cá nhân là nhóm chi phối khi mua ròng mạnh mẽ, tập trung vào các cổ phiếu vốn hóa vừa và nhỏ. Tỷ trọng giao dịch của nhà đầu tư cá nhân trên sàn HoSE trong tháng 5 đạt 85%, cao nhất trong 7 tháng trở lại. Sự trở lại của nhà đầu tư nhỏ lẻ cũng có thể thấy từ quy mô lượng tài khoản chứng khoán mở mới đã tăng trở lại. Tháng trước, quy mô tài khoản chứng khoán mở mới lần đầu vượt ngưỡng 100.000 tài khoản kể từ tháng 9/2022 và gấp hơn 4 lần so với tháng 4. Môi trường lãi suất ""dễ thở"" hơn, theo nhóm phân tích ACBS, có thể cải thiện lợi nhuận của các doanh nghiệp và thúc đẩy việc mở rộng kinh doanh nhờ tăng cường vay vốn để nắm bắt cơ hội trong bối cảnh nhu cầu yếu từ cả thị trường bên trong và bên ngoài. Những yếu tố này giúp cổ phiếu nhiều doanh nghiệp được chú ý nhờ vào triển vọng tích cực trong ngắn hạn. ""Sau tháng 4 diễn biến không đạt kỳ vọng thì tháng 5 ghi nhận sự hồi phục của VN-Index với các thông tin tích cực đã được hấp thụ vào giá. Dòng tiền được cải thiện đáng kể với động lượng tăng dần khi tiến về cuối tháng"", báo cáo của Công ty chứng khoán An Bình nhận xét. Minh Sơn Chuyên gia của Chứng khoán Rồng Việt nói thị trường đang thuận lợi cho mua bán ngắn hạn, nhưng chưa phải lúc thích hợp để tất tay. 25",Chứng khoán
Chứng khoán tuần này đối mặt nhịp điều chỉnh,"Thị trường vừa ghi nhận một tuần giao dịch rung lắc, tăng giảm đan xen khi chỉ số tiếp cận vùng kháng cự mạnh. Thanh khoản bán chủ động liên tục gia tăng mỗi khi VN-Index tiệm cận kháng cự cứng gần 1.120-1.125 điểm. Trong phiên cuối tuần qua, lực bán mạnh quay trở lại cuối phiên khiến chỉ số đảo chiều giảm điểm về dưới mốc tham chiếu. Việc thanh khoản những phiên cuối tuần có phần sụt giảm so với trung bình 10 phiên, theo Công ty chứng khoán Vietcombank (VCBS), cho thấy nhà đầu tư vẫn thận trọng trước ngưỡng kháng cự trên. Dự báo tuần này, nhóm phân tích VCBS cho rằng xác suất thị trường điều chỉnh ngắn hạn đang ở mức cao. Ở khung đồ thị giờ, chỉ báo MACD và RSI cũng đồng loạt cho tín hiệu giảm điểm ngắn hạn. Tuy nhiên, nhóm phân tích vẫn đánh giá thị trường đang có diễn biến tích cực và sự xuất hiện của những nhịp rung lắc là cần thiết để tạo đà cho VN-Index có thể hướng lên các vùng điểm cao hơn. Trong kịch bản tích cực, chỉ số của HoSE có thể diễn biến tích lũy, tăng giảm đan xen với biên độ khoảng 20 điểm quanh khu vực 1.110-1.130 điểm. ""Chúng tôi khuyến nghị các nhà đầu tư bám sát diễn biến thị trường trong tuần này, duy trì tâm lý thận trọng và kiên nhẫn chờ đợi thị trường cho tín hiệu cân bằng trước khi quay lại giải ngân mới"", báo cáo VCSB viết. Cùng quan điểm thận trọng, Công ty chứng khoán KB Việt Nam cho rằng VN-Index nhiều khả năng tiếp tục quán tính giảm điểm trong phiên đầu tuần này, lùi xuống ngưỡng hỗ trợ gần 1.105 - 1.110 điểm và sâu hơn là 1.09x nhằm tìm kiếm lực cầu bắt đáy. Tương tự, Công ty chứng khoán Rồng Việt (VDSC) chung nhận định, thị trường chưa thể thành công vượt qua vùng cản 1.125-1.130 điểm do áp lực chốt lời tiếp tục xuất hiện và gây sức ép tại vùng cản này. Thanh khoản tăng đáng kể trong phiên cuối tuần trước khi chỉ số đảo chiều cũng cho thấy sự hiện diện của áp lực bán. Dù vậy, mức độ giảm còn tương đối thấp, có thể cho thấy dòng tiền chờ mua cũng có nỗ lực hỗ trợ và ngăn thị trường giảm sâu. Theo VDSC, thị trường sẽ cần thời gian để kiểm tra lại cung cầu quanh mức điểm hiện tại trước khi có tín hiệu cụ thể hơn. Nhóm phân tích KB Việt Nam khuyến nghị nhà đầu tư tiếp tục áp dụng chiến lược giao dịch quay vòng, nắm giữ một phần vị thế và kết hợp mua tại hỗ trợ - bán tại kháng cự theo từng mã riêng lẻ với phần vị thế còn lại. Minh Sơn",Chứng khoán
Chứng khoán đảo chiều giảm,"Sáng nay, chỉ số đại diện cho sàn TP HCM tăng nhẹ nhờ dòng tiền đổ vào các cổ phiếu vốn hóa lớn. Biên độ tăng được nới rộng thành 11 điểm ngay khi thông tin Ngân hàng Nhà nước hạ trần lãi suất tiết kiệm lần thứ hai trong vòng một tháng được công bố, nhờ đó chỉ số lên sát 1.130 điểm - vùng giá cao nhất từ đầu năm đến nay. Tuy nhiên, tận dụng đà hưng phấn này, nhiều nhà đầu tư nhanh chóng chốt lời khiến chỉ số dần thu hẹp biên độ và quay đầu trong phiên ATC. VN-Index đóng cửa với mức giảm gần 2 điểm so với tham chiếu, nối dài chuỗi đi xuống ba phiên liên tiếp sau giai đoạn tăng nóng hồi đầu tháng. Sắc đỏ bao trùm nhiều nhóm cổ phiếu như dầu khí, phân bón, xây dựng. Trong khi đó, nhóm chứng khoán đồng loạt tăng vọt bởi sự kỳ vọng của nhà đầu tư về một nhịp tăng mới nhờ những thông tin vĩ mô tích cực. Tính riêng cổ phiếu, VIC là mã ghì chỉ số xuống nhiều nhất dù giữ giá tham chiếu 53.500 đồng. Ở chiều ngược lại, hai mã trụ của nhóm ngân hàng gồm VCB và STB giúp thị trường tránh một phiên giảm sâu vì áp lực bán dồn dập từ nhà đầu tư trong nước. Thanh khoản thị trường xấp xỉ 22.500 tỷ đồng, tăng gần 10.000 tỷ đồng so với hôm qua. Hôm nay có đến hai cổ phiếu ghi nhận thanh khoản nghìn tỷ, lần lượt là VND (1.382 tỷ đồng) và STB (1.296 tỷ đồng). Các cổ phiếu trong nhóm 10 mã được sang tay nhiều nhất như SSI, NVL, HPG, VPB cũng ghi nhận thanh khoản cao hơn đáng kể so với các phiên gần đây. Trong lúc nhà đầu tư trong nước xả hàng, khối ngoại tiếp tục giải ngân mạnh. Nhóm này rót gần 2.650 tỷ đồng vào thị trường, mức cao nhất trong gần hai tháng qua. VND, HPG và STB là những cái tên hút tiền nhiều nhất của nhà đầu tư nước ngoài. Phương Đông",Chứng khoán
'Cổ phiếu chứng khoán kỳ vọng khởi sắc từ nay đến cuối năm',"Theo bà Nguyễn Ngọc Linh, Giám đốc tự doanh Chứng khoán DNSE, trong những phiên gần đây, dòng tiền tập trung vào các nhóm cổ phiếu lớn giúp VN-Index tăng vượt vùng 1.100 điểm. Luồng tiền từ khối nội cũng giúp thanh khoản cải thiện rõ rệt, dù khối ngoại liên tục bán ròng trong thời gian qua. Một tháng gần đây, giá trị khớp lệnh trung bình trên sàn HOSE đạt gần 11.000 tỷ đồng. Hơn 104.000 tài khoản mở mới trong tháng 5, tăng gấp khoảng 5 lần so với tháng trước và là mức cao nhất kể từ tháng 8 năm 2022. ""Kỳ vọng một chu kỳ tăng giá mới của cổ phiếu sau khi thị trường tạo đáy có thể trở thành hiện thực"", bà Linh nhận định. Chứng khoán là kênh thu hút dòng tiền trong ngắn hạn. Ảnh: DNSE Nguyên nhân khiến thị trường khởi sắc được chuyên gia DNSE lý giải bởi dòng tiền đã được cải thiện, trong bối cảnh lãi suất huy động bắt đầu giảm. Dòng tiền của các nhà đầu tư cá nhân quay trở lại thị trường chứng khoán đến từ việc đáo hạn các khoản tiền gửi ngắn hạn. Đồng thời, lãi suất huy động giảm giúp cho việc kênh đầu tư chứng khoán hấp dẫn trở lại với nhà đầu tư trong ngắn hạn. Khi thị trường đi vào chu kỳ tăng giá, lần lượt các ngành, cổ phiếu sẽ được xoay vòng hưởng lợi. Những ngành có độ nhạy với lãi suất cao trong nhóm chứng khoán, ngân hàng, bất động sản...sẽ có xu hướng bật tăng mạnh. Tuy nhiên, đà tăng trưởng bền vững của các nhóm cổ phiếu này phải dựa vào thông tin hỗ trợ và yếu tố cơ bản. Trong ngắn hạn, các yếu tố hỗ trợ sẽ được củng cố và được xác định bởi kết quả kinh doanh trong quý II/2023. Đặc biệt, nhóm cổ phiếu ngân hàng, chứng khoán, thép đều có xu hướng tăng từ tháng 3 đến nay. Ngoài nhóm cổ phiếu chứng khoán đang đi lên nhờ yếu tố tâm lý, chuyên gia DNSE nhận định, các nhóm còn lại vẫn đang trong quá trình chờ các yếu tố hỗ trợ đủ mạnh để có thể tăng tốc. Diễn biến giá nhóm Ngân hàng - Chứng khoán - Hàng hóa, kim loại và khai thác trong 6 tháng gần đây. Ảnh: Wichart Đối với ngành thép, một số tín hiệu khả quan đã xuất hiện như giá thép phục hồi tích cực từ đầu năm, khi Trung Quốc mở cửa trở lại. Song song đó, kỳ vọng vào đầu tư công cuối năm và những tín hiệu hồi phục từ thị trường bất động sản bởi các chính sách hỗ trợ đem đến những gam màu sáng cho loại cổ phiếu này. Đối với ngành ngân hàng, tình hình sẽ khả quan hơn trong nửa cuối năm, bất chấp việc cắt giảm lãi suất đang có xu hướng gia tăng. Thông tư 02 cũng sẽ giúp ngân hàng tái ổn định được chất lượng tài sản. Thực tế, tín dụng đang tăng khá chậm, song đây có thể tạo ra cơ hội với ngành ngân hàng và nền kinh tế khi dư địa tín dụng vẫn còn khá nhiều từ nay đến cuối năm. Doanh nghiệp cơ cấu được nguồn tiền tốt, tiếp cận được nguồn vốn vay giá rẻ sẽ là yếu tố tích cực tác động đến thị trường chứng khoán – vốn đang chờ các yếu tố hỗ trợ từ nội tại doanh nghiệp. Chuyên gia DNSE cho rằng, không riêng gì bộ ba cổ phiếu ngân hàng - chứng khoán - thép, cả thị trường cần một sự tác động tích cực xuất phát từ động lực tăng trưởng chính của nền kinh tế. Trong đó, ba yếu tố then chốt gồm tận dụng các chính sách hỗ trợ, tăng trưởng tín dụng, cùng với hồi phục sức mua và dòng thương mại của toàn nền kinh tế... giúp thị trường chứng khoán nói riêng và toàn nền kinh tế nói chung tăng trưởng Để thực hiện kế hoạch tăng vốn lên 3.366 tỷ đồng, DNSE sẽ phát hành ESOP vào năm 2023 và đặt mục tiêu niêm yết hoặc UPCoM trong giai đoạn 2023-2024. Quý IV/2022, Chứng khoán DNSE ghi nhận lợi nhuận trước thuế tăng gấp 4 lần quý III, doanh thu cả năm tăng 2,5 lần so với so với 2021. Hồng Thảo",Chứng khoán
